Unmatched;Matched
Para;
Rondonia;Rondônia
Panama;Panamá
Parana;Paraná
Rio De Janeiro;Rio de Janeiro
Sao Paulo;São Paulo
Amapa;Amapá
Indonesia-ISO;Indonesia
Java;Jawa
Angola-ISO;Angola
Cape Verde Is.;Cape Verde
Equatorial Guinea-ISO;Equatorial Guinea
Namibia-ISO;Namibia
Sao Tome  Principe;São Tomé
South Africa;Southern Africa
Assumption I.;Aldabra
Coetivy I.;Seychelles
Malaysia-ISO;Malaysia
Sumatra;Sumatera
St Kitts-Nevis;St.Kitts-Nevis
St Martin-St Barthelemy;St.Martin-St.Barthélémy
St Vincent;St.Vincent
Mexico ;Mexico
Anjouan I.;Comoros
Grande Comore I.;Comoros
Moheli I.;Comoros
Madhaya Pradesh;Madhya Pradesh
Yanan;Yanam
Comoro Is.;Comoros
Reunion;Réunion
United States;"Northwestern U.S.A.;North-Central U.S.A.;Northeastern U.S.A.;Southwestern U.S.A.;South-Central U.S.A.;Southeastern U.S.A."
Natal;KwaZulu-Natal
New Zealand ;"New Zealand North;New Zealand South"
Burkina Faso;Burkina
Argentina;"Argentina Distrito Federal;Tierra del Fuego (Argentina);Argentina Northeast;Argentina South;Argentina Northwest"
Chile;"Chile Central;Chile North;Chile South"
Moluccas;Maluku
India-ISO;India
Ryukyu Is.;Nansei-shoto
Ogasawara-Shoto;Ogasawara-shoto
Caribbean-TRP;Caribbean
Gruzia;Georgia
former Yugoslavia;Yugoslavia
Sardinia;Sardegna
Abkhazia;Abkhaziya
Adzharia;Adzhariya
St Lucia;St.Lucia
Sicily;Sicilia
Agalega I.;Mauritius
Corsica;Corse
Burma;Myanmar
Galapagos;Galápagos
Guinea Bissau;Guinea-Bissau
The Gambia;Gambia, The
Russia in Asia;Russian Far East
Balearic Is.;Baleares
Canada;"Western Canada;Eastern Canada"
Turkey in Asia;Turkey
South America;Southern America
Trinidad  Tobago;Trinidad-Tobago
Xizang Zizhiqu;Tibet
Bird I.;Seychelles
Dushanbe;Tadzhikistan
Odessa;Ukraine
Rhode Is.land;Rhode I.
Bukhara;Uzbekistan
Samarkand;Tadzhikistan
Tashkent;Uzbekistan
Nei Mongol Zizhiqu;Inner Mongolia
Quinghai;Qinghai
Xinjiang Uygur;Xinjiang
Amirantes Group;Seychelles
Yucatan;Yucatán
Kirgizstan;Kirgizistan
Russia in Europe;"Central European Russia;East European Russia;North European Russia;South European Russia;Northwest European Russia"
Aktyubinsk;Kazakhstan
Alma-Ata;Kazakhstan
Chimkent;Kazakhstan
Dzhambul;Kazakhstan
Dzhezkazgan;Kazakhstan
Guryev;Kazakhstan
Karaganda;Kazakhstan
Kzyl-Orda;Kazakhstan
Mangyshlak;Kazakhstan
Pavlodar;Kazakhstan
Semipalatinsk;Kazakhstan
Taldy-Kurgan;Kazakhstan
Tselinograd;Kazakhstan
Turgaiskaya;Kazakhstan
Uralsk;Kazakhstan
